N,L,K,active_limit_fraction,required_turned_off_fraction,seed,heuristic,valid,active_count,actual_active_fraction,actual_turned_off_fraction,u_bf,u_i,u_g,log2_u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,2,750,0.75,0.25,42,H1,True,750,0.75,0.25,21860.38202894062,749307.8464226127,119112963.74164405,26.827755197556865,0.03577034026340915,29.147176038587496,0.010122083999999976
1000,2,750,0.75,0.25,42,H2,True,750,0.75,0.25,21134.776691418614,17.49799758195877,111681787.44211479,26.73481869595644,0.03564642492794192,28.179702255224818,0.190465542
1000,2,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,23443.030743546522,677128.0363262892,137055279.6549676,27.030182663952317,0.03604024355193642,31.257374324728698,0.10418712500000005
1000,2,750,0.75,0.25,42,MISO-EE,True,709,0.709,0.29100000000000004,22412.268226064734,677442.7512218058,125252906.79211798,26.90026884408355,0.03794114082381318,31.61109763901937,0.309977041
1000,2,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,21134.776691418614,17.49799758195877,111681787.44211479,26.73481869595644,0.03564642492794192,28.179702255224818,0.2670959169999999
1000,3,750,0.75,0.25,42,H1,True,750,0.75,0.25,13106.321441001353,759173.4475767016,81768598954.9434,36.25082786992078,0.048334437159894376,17.47509525466847,0.009613290999999968
1000,3,750,0.75,0.25,42,H2,True,750,0.75,0.25,15683.623222371461,61.34052163362503,142646353162.93552,37.05365190781345,0.04940486921041794,20.911497629828617,0.22136587499999982
1000,3,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,20956.065814274512,1531322.8210819662,335622804217.91614,38.288049788187045,0.051050733050916064,27.94142108569935,0.143173
1000,3,750,0.75,0.25,42,MISO-EE,True,587,0.587,0.41300000000000003,16013.759582169921,850178.5074541271,149897888991.92145,37.12518910975302,0.06324563732496256,27.280680719199186,0.38150129099999996
1000,3,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,15683.623222371461,61.34052163362503,142646353162.93552,37.05365190781345,0.04940486921041794,20.911497629828617,0.2999447500000001
1000,4,750,0.75,0.25,42,H1,True,750,0.75,0.25,25380.55067634477,2235943.076687485,1578566170329524.0,50.487536160113,0.06731671488015067,33.84073423512636,0.009736874999999756
1000,4,750,0.75,0.25,42,H2,True,750,0.75,0.25,22873.14834890238,313.6053749471903,1065618833811774.4,49.920612909337066,0.06656081721244943,30.49753113186984,0.22912849999999985
1000,4,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,27901.890425773363,2161628.7335940003,2317761953972184.0,51.04165382509092,0.06805553843345456,37.20252056769782,0.19021708399999993
1000,4,750,0.75,0.25,42,MISO-EE,True,696,0.696,0.30400000000000005,25685.206570637274,1902657.7986349165,1662868817561683.0,50.56259578332578,0.07264740773466348,36.904032429076544,0.43705995799999986
1000,4,750,0.75,0.25,42,Pareto-H2,True,737,0.737,0.263,24318.297752088365,206.8108188509941,1360946773055105.0,50.273532067117024,0.06821374771657669,32.996333449237945,0.3194365829999999
1000,5,750,0.75,0.25,42,H1,True,750,0.75,0.25,16430.018348647045,1097129.8217927665,3.6340852994249363e+17,58.334369896062,0.077779159861416,21.906691131529392,0.009868833000000077
1000,5,750,0.75,0.25,42,H2,True,750,0.75,0.25,15201.824921438088,485.03368109464645,2.5868175236257485e+17,57.84395590172505,0.0771252745356334,20.269099895250786,0.24460833299999996
1000,5,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,18395.445780655395,1072146.0137995929,6.473847807151103e+17,59.167401062900204,0.07888986808386694,24.52726104087386,0.252404125
1000,5,750,0.75,0.25,42,MISO-EE,True,687,0.687,0.31299999999999994,16558.190675246005,830112.3208657205,3.8328421665282496e+17,58.4111922033824,0.08502356943723785,24.102169832963618,0.5117235420000004
1000,5,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,15233.744857530304,391.0605535209179,2.6151458149047165e+17,57.85966900337192,0.07714622533782922,20.311659810040407,0.3642448749999998
1000,6,750,0.75,0.25,42,H1,True,750,0.75,0.25,16554.11598109972,1245863.6000536382,4.067457529491299e+20,68.4626891797699,0.09128358557302653,22.072154641466295,0.010098207999999609
1000,6,750,0.75,0.25,42,H2,True,750,0.75,0.25,13861.158183403113,328.06026086583734,1.5107537961341842e+20,67.03383046490949,0.08937844061987932,18.481544244537485,0.26492591600000015
1000,6,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,18369.04621548493,1287790.7732941061,7.699650672301981e+20,69.38335489098728,0.0925111398546497,24.492061620646574,0.3175579580000001
1000,6,750,0.75,0.25,42,MISO-EE,True,693,0.693,0.30700000000000005,16687.759642445704,1135801.3121664003,4.310426433093165e+20,68.54639250081478,0.09891254329121901,24.080461244510396,0.599736708
1000,6,750,0.75,0.25,42,Pareto-H2,True,719,0.719,0.281,14820.323589073672,421.02737636864185,2.2557632343541114e+20,67.61217754768752,0.09403640827216624,20.61241111136811,0.40368504100000013
1000,7,750,0.75,0.25,42,H1,True,750,0.75,0.25,16441.35029233015,1148225.236494124,3.5595203291179665e+23,78.2360290231999,0.10431470536426654,21.921800389773534,0.010252458000000075
1000,7,750,0.75,0.25,42,H2,True,750,0.75,0.25,13831.71737478507,972.3146292194724,1.1718668461155222e+23,76.633154834625,0.1021775397795,18.44228983304676,0.28874866600000004
1000,7,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,17703.09465256118,1239804.6432921141,6.015587718074016e+23,78.99305187683979,0.10532406916911971,23.604126203414907,0.3891439160000001
1000,7,750,0.75,0.25,42,MISO-EE,True,711,0.711,0.28900000000000003,16554.037184408564,1091445.9816740751,3.761046544660887e+23,78.31548034290506,0.11014835491266535,23.28275272068715,0.6850021249999996
1000,7,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,13831.71737478507,972.3146292194724,1.1718668461155222e+23,76.633154834625,0.1021775397795,18.44228983304676,0.4667940420000001
1000,8,750,0.75,0.25,42,H1,True,750,0.75,0.25,17347.41316743203,1311829.5358964503,4.2149575426972454e+26,88.4456485660327,0.11792753142137694,23.12988422324271,0.010687749999998886
1000,8,750,0.75,0.25,42,H2,True,750,0.75,0.25,14774.459753362777,1126.4332304149866,1.3548760265771663e+26,86.80829131568018,0.11574438842090691,19.699279671150368,0.3097382909999986
1000,8,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,18188.130074615605,1250260.1628029495,6.293885805155096e+26,89.0240814700117,0.11869877529334892,24.250840099487473,0.46709841700000077
1000,8,750,0.75,0.25,42,MISO-EE,True,726,0.726,0.274,17398.88779475511,1099165.3819623813,4.440610310747625e+26,88.52088843909263,0.12192959840095403,23.965410185613095,0.7745700419999988
1000,8,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,14776.326064645309,1100.4485593363643,1.3530493431417677e+26,86.80634491969546,0.11574179322626062,19.701768086193745,0.5232050839999989
1000,9,750,0.75,0.25,42,H1,True,750,0.75,0.25,12599.955538472,720268.7335404754,1.7314247754456244e+28,93.80594636551957,0.1250745951540261,16.799940717962667,0.010939291999999767
1000,9,750,0.75,0.25,42,H2,True,750,0.75,0.25,10432.91997249776,1041.15233046934,3.7844020574315284e+27,91.61212393167449,0.12214949857556598,13.910559963330348,0.3287414999999996
1000,9,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,15742.393535824458,983283.9111212976,1.3140797050377436e+29,96.72996753620293,0.12897329004827057,20.989858047765946,0.5713270420000001
1000,9,750,0.75,0.25,42,MISO-EE,True,643,0.643,0.357,12658.043547650694,680248.9778856263,1.8229054533076972e+28,93.88022639343912,0.14600346250923657,19.685915315164376,0.9064409579999992
1000,9,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,10432.91997249776,1041.15233046934,3.7844020574315284e+27,91.61212393167449,0.12214949857556598,13.910559963330348,0.6029741250000011
1000,10,750,0.75,0.25,42,H1,True,750,0.75,0.25,11017.63497788737,391556.55729690567,2.2443561849104747e+30,100.8241445000301,0.1344321926667068,14.690179970516493,0.01100787499999889
1000,10,750,0.75,0.25,42,H2,True,750,0.75,0.25,10095.448841847392,1144.728868426755,1.0957276669668544e+30,99.78973212088886,0.13305297616118514,13.460598455796523,0.35869216700000095
1000,10,750,0.75,0.25,42,Coutino,True,750,0.75,0.25,12156.563015234831,415735.2153735161,6.126039853351665e+30,102.27279759913492,0.1363637301321799,16.208750686979776,0.6603565000000007
1000,10,750,0.75,0.25,42,MISO-EE,True,702,0.702,0.29800000000000004,11069.603886433717,346265.0668695867,2.4000031709105366e+30,100.92087915856045,0.14376193612330548,15.768666504891335,1.032068208
1000,10,750,0.75,0.25,42,Pareto-H2,True,750,0.75,0.25,10095.448841847392,1144.728868426755,1.0957276669668544e+30,99.78973212088886,0.13305297616118514,13.460598455796523,0.6835389589999998
1000,2,500,0.5,0.5,42,H1,True,500,0.5,0.5,14752.297190550016,364629.54794918,54233229.231109284,25.69267374009673,0.05138534748019346,29.504594381100034,0.006420666000000352
1000,2,500,0.5,0.5,42,H2,True,500,0.5,0.5,13675.87543330712,39.19966176152229,46769765.59700413,25.47907286241703,0.050958145724834064,27.35175086661424,0.09332341600000049
1000,2,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,15800.875091953392,222425.18445003033,62301391.326637805,25.892761046363336,0.051785522092726674,31.601750183906784,0.09659854200000062
1000,2,500,0.5,0.5,42,MISO-EE,True,481,0.481,0.519,15115.63857424985,144942.82328650355,57055496.75913213,25.765862547485025,0.05356728180350317,31.42544402130946,0.19766120799999953
1000,2,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,13675.87543330712,39.19966176152229,46769765.59700413,25.47907286241703,0.050958145724834064,27.35175086661424,0.15021204099999963
1000,3,500,0.5,0.5,42,H1,True,500,0.5,0.5,8303.540251944165,492829.0676494725,20562432233.687206,34.25929187313016,0.06851858374626033,16.60708050388833,0.006658791999999636
1000,3,500,0.5,0.5,42,H2,True,500,0.5,0.5,9770.618058501776,51.684930711984634,34461128985.706345,35.00425091553802,0.07000850183107604,19.54123611700355,0.1173184169999999
1000,3,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,13146.480673043145,678473.2451724261,82740706709.8164,36.26787822893149,0.07253575645786298,26.29296134608629,0.14308458400000035
1000,3,500,0.5,0.5,42,MISO-EE,True,406,0.406,0.594,10004.359528912399,402552.5234769508,36446947770.64133,35.08507895079111,0.08641645061771208,24.64127962786305,0.2706674999999983
1000,3,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,9770.618058501776,51.684930711984634,34461128985.706345,35.00425091553802,0.07000850183107604,19.54123611700355,0.18917991700000059
1000,4,500,0.5,0.5,42,H1,True,500,0.5,0.5,15489.45878604032,1025287.3937655017,217601126743235.62,47.6286793553361,0.09525735871067219,30.97891757208064,0.0065487920000002475
1000,4,500,0.5,0.5,42,H2,True,500,0.5,0.5,13764.860131828063,418.4278916120529,139437096009195.12,46.986607756981236,0.09397321551396247,27.529720263656127,0.1293262079999984
1000,4,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,16998.06276153317,869492.4952103049,318706212616231.44,48.17922047061154,0.09635844094122308,33.99612552306634,0.19233816699999906
1000,4,500,0.5,0.5,42,MISO-EE,True,470,0.47,0.53,15666.110772215103,880697.7022929043,228818900840239.28,47.70119955458768,0.10149191394593124,33.33215057918107,0.32963416699999826
1000,4,500,0.5,0.5,42,Pareto-H2,True,492,0.492,0.508,14681.56427851913,273.11592312157154,178144729954990.12,47.340043133363494,0.09621959986455995,29.84057780186815,0.21008999999999745
1000,5,500,0.5,0.5,42,H1,True,500,0.5,0.5,9781.58384354127,438922.7937383391,2.6963535223473576e+16,54.581859180704555,0.1091637183614091,19.56316768708254,0.0066487920000000145
1000,5,500,0.5,0.5,42,H2,True,500,0.5,0.5,9080.377716114008,430.6593035776168,1.961400703375873e+16,54.12273381850024,0.10824546763700048,18.160755432228015,0.14303629100000137
1000,5,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,10919.230066533768,358976.2864415273,4.781837728065131e+16,55.40841469113987,0.11081682938227974,21.838460133067535,0.25017324999999957
1000,5,500,0.5,0.5,42,MISO-EE,True,464,0.464,0.536,9843.62080623821,288649.036095798,2.8487130555774028e+16,54.66115982776967,0.11780422376674499,21.214700013444418,0.4073927079999997
1000,5,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,9080.377716114008,430.6593035776168,1.961400703375873e+16,54.12273381850024,0.10824546763700048,18.160755432228015,0.24647999999999826
1000,6,500,0.5,0.5,42,H1,True,500,0.5,0.5,9722.576817161236,597006.6335792281,1.616409086919374e+19,63.80942616987293,0.12761885233974585,19.445153634322473,0.006892125000000249
1000,6,500,0.5,0.5,42,H2,True,500,0.5,0.5,8183.424768115974,591.3257286306471,6.418409358948748e+18,62.47692151399792,0.12495384302799585,16.36684953623195,0.1571082920000002
1000,6,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,10759.310940571739,565528.1716869622,3.045500664812003e+19,64.72331322221198,0.12944662644442398,21.518621881143478,0.31377808399999907
1000,6,500,0.5,0.5,42,MISO-EE,True,468,0.468,0.532,9773.806977542774,476056.22641293705,1.711909391099673e+19,63.89224014684746,0.13652188065565699,20.884202943467464,0.48432770800000213
1000,6,500,0.5,0.5,42,Pareto-H2,True,483,0.483,0.517,8738.361942415631,481.35906939953566,9.403641666717823e+18,63.02792527296317,0.13049259890882642,18.091846671667973,0.30295329200000154
1000,7,500,0.5,0.5,42,H1,True,500,0.5,0.5,9486.242395270048,561511.199024504,7.204497554355919e+21,72.60938781219285,0.1452187756243857,18.972484790540097,0.006494583999998582
1000,7,500,0.5,0.5,42,H2,True,500,0.5,0.5,8050.692404440193,730.2697848137468,2.670196725975708e+21,71.17743602860523,0.14235487205721045,16.101384808880386,0.180848000000001
1000,7,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,10155.040694014127,467759.17207313515,1.212059307673299e+22,73.35987838104634,0.14671975676209267,20.310081388028255,0.3961711249999986
1000,7,500,0.5,0.5,42,MISO-EE,True,478,0.478,0.522,9509.603118911915,423670.98593043536,7.618996827577671e+21,72.69009104715717,0.15207132018233718,19.894567194376393,0.5811518329999998
1000,7,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,8050.692404440193,730.2697848137468,2.670196725975708e+21,71.17743602860523,0.14235487205721045,16.101384808880386,0.35082562500000236
1000,8,500,0.5,0.5,42,H1,True,500,0.5,0.5,9806.442516909627,602612.7488822918,4.0742448651220144e+24,81.75280696724244,0.16350561393448487,19.612885033819254,0.007150791000000822
1000,8,500,0.5,0.5,42,H2,True,500,0.5,0.5,8597.199388869813,1184.9908151421696,1.7769449675123493e+24,80.55567327868216,0.16111134655736434,17.194398777739625,0.20132100000000008
1000,8,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,10205.473810979192,383310.7321832571,6.209536334914362e+24,82.36075982395607,0.16472151964791215,20.410947621958385,0.4526872080000004
1000,8,500,0.5,0.5,42,MISO-EE,True,485,0.485,0.515,9749.937785955794,340693.71616451815,4.3147167965965115e+24,81.83554014619008,0.16873307246637131,20.102964507125346,0.6645237500000007
1000,8,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,8597.199388869813,1184.9908151421696,1.7769449675123493e+24,80.55567327868216,0.16111134655736434,17.194398777739625,0.4131856670000005
1000,9,500,0.5,0.5,42,H1,True,500,0.5,0.5,6996.580301296761,338232.51115372963,7.857080486320368e+25,86.0221957113414,0.1720443914226828,13.993160602593521,0.007166665999999822
1000,9,500,0.5,0.5,42,H2,True,500,0.5,0.5,5892.7959914625535,780.5777907795273,2.2182999088178357e+25,84.19765679977316,0.16839531359954632,11.785591982925107,0.22259433299999998
1000,9,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,8676.815249372134,376464.176147623,5.89855111700288e+26,88.930491090526,0.177860982181052,17.353630498744266,0.5699806669999994
1000,9,500,0.5,0.5,42,MISO-EE,True,435,0.435,0.565,6999.915031867725,283934.4627545392,8.292522266693875e+25,86.10001335305996,0.1979310651794482,16.091758693948794,0.8079024169999975
1000,9,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,5892.7959914625535,780.5777907795273,2.2182999088178357e+25,84.19765679977316,0.16839531359954632,11.785591982925107,0.48914549999999934
1000,10,500,0.5,0.5,42,H1,True,500,0.5,0.5,6086.69357024419,211143.61521576066,5.248746383501418e+27,92.08403145097166,0.18416806290194332,12.17338714048838,0.00710145800000106
1000,10,500,0.5,0.5,42,H2,True,500,0.5,0.5,5598.7193596339375,1125.7089517014101,2.997963185018973e+27,91.27604122906155,0.1825520824581231,11.197438719267875,0.24949200000000005
1000,10,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,6688.203050412451,198649.9527308289,1.4338040797008722e+28,93.53383455916038,0.18706766911832076,13.376406100824903,0.6567040409999976
1000,10,500,0.5,0.5,42,MISO-EE,True,471,0.471,0.529,6090.732367164763,173172.9284388651,5.577806580835908e+27,92.17175646948618,0.19569375046600038,12.931491225402894,0.921027125000002
1000,10,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,5598.7193596339375,1125.7089517014101,2.997963185018973e+27,91.27604122906155,0.1825520824581231,11.197438719267875,0.5647498750000004
