data_profile,K,off_pct,rule,rule_label,cases,T_min,T_max,T_mean,T_std,T_p05,T_p50,T_p95,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_mean,fraction_p05,fraction_p50,fraction_p95,gap_pct_mean,winner_rate,outside_dense_rate
gaussian,250,75.0,best_tested_T,best tested T per sample,1000,6,100,37.459,15.163121025674071,17.0,35.0,65.0,14585708.12861981,8484833.594639184,14425831.05646374,21364662.511234723,71.47526718947866,1.0,1.0,1.0,1.0,0.0,1.0,0.0
gaussian,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,13876640.404106446,8067682.3542272765,13744831.870777506,20341137.446952395,71.25982666275198,0.952029027329081,0.9019353756901572,0.9549917259794565,0.9923108113865071,4.797097267091894,0.02,0.0
gaussian,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,13876640.404106446,8067682.3542272765,13744831.870777506,20341137.446952395,71.25982666275198,0.952029027329081,0.9019353756901572,0.9549917259794565,0.9923108113865071,4.797097267091894,0.02,0.0
gaussian,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,4823702.721207933,2817626.7557920744,4794700.437058271,6943783.791870162,66.6756682460482,0.33225109108171347,0.28999887914871314,0.3313851936601355,0.3793903388719477,66.77489089182865,0.0,1.0
gaussian,500,50.0,best_tested_T,best tested T per sample,1000,12,123,51.496,17.47682532450969,26.0,50.0,82.04999999999995,92964881.94285227,53660481.0872932,91549803.70890263,136630075.03571388,79.51716297948826,1.0,1.0,1.0,1.0,0.0,1.0,0.0
gaussian,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,89508332.85317089,51851294.2486981,88299623.3317647,131779597.17927122,79.35169361631205,0.9629165642566735,0.9183641771851082,0.9660220534675821,0.9951933770185897,3.7083435743326536,0.024,0.0
gaussian,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,89508332.85317089,51851294.2486981,88299623.3317647,131779597.17927122,79.35169361631205,0.9629165642566735,0.9183641771851082,0.9660220534675821,0.9951933770185897,3.7083435743326536,0.024,0.0
gaussian,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,52140023.05547677,30234460.63341929,51731885.197886355,75027719.03087802,77.01183219492945,0.562920055137317,0.5032078579850876,0.5621129233420197,0.6271548594331565,43.707994486268305,0.0,0.0
lognormal,250,75.0,best_tested_T,best tested T per sample,1000,6,90,36.514,14.917584869486692,16.0,35.0,63.049999999999955,206036.67570596977,25760.58043833951,160457.66498486407,502759.8895148211,51.61056809869135,1.0,1.0,1.0,1.0,0.0,1.0,0.0
lognormal,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,181258.40814973632,22826.263397125815,141920.69218403375,446980.1264372259,51.04818114202186,0.8814334259092389,0.7535556501419284,0.8902321868082387,0.9789328171499763,11.856657409076114,0.009,0.0
lognormal,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,181258.40814973632,22826.263397125815,141920.69218403375,446980.1264372259,51.04818114202186,0.8814334259092389,0.7535556501419284,0.8902321868082387,0.9789328171499763,11.856657409076114,0.009,0.0
lognormal,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,22856.513918992292,3236.5789401855263,18311.299262377215,56038.85690895896,42.13495817432216,0.11428004397794006,0.08686084435507349,0.11265011497845656,0.14549171977334344,88.57199560220599,0.0,1.0
lognormal,500,50.0,best_tested_T,best tested T per sample,1000,7,109,51.419,17.9804542694487,23.0,50.0,84.0,597175.759104688,76685.38216568317,470755.22701891593,1466904.588352435,56.236230015707484,1.0,1.0,1.0,1.0,0.0,1.0,0.0
lognormal,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,543376.254645148,68502.27631860992,427364.52457742323,1357780.0711062606,55.80439893173452,0.9071807075326009,0.8067226543422623,0.9157866934346287,0.9840658757522659,9.281929246739898,0.011,0.0
lognormal,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,543376.254645148,68502.27631860992,427364.52457742323,1357780.0711062606,55.80439893173452,0.9071807075326009,0.8067226543422623,0.9157866934346287,0.9840658757522659,9.281929246739898,0.011,0.0
lognormal,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,204684.03899843027,28571.351777734253,162254.66036413208,491175.74528714694,51.6347277867435,0.34976321927670895,0.28161091548677136,0.3459992046929733,0.4305476731090253,65.0236780723291,0.0,0.0
nakagami,250,75.0,best_tested_T,best tested T per sample,1000,9,105,43.88,15.644754979172989,21.0,42.0,70.0,27369436.131445758,17334650.990098953,27117701.336756412,37713529.42727309,74.25443422804939,1.0,1.0,1.0,1.0,0.0,1.0,0.0
nakagami,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,26543386.36659676,16884936.328031752,26383874.66561216,36427888.71649578,74.12120667759099,0.9699786144454579,0.933123459861015,0.9724766967016607,0.9961247055412336,3.0021385554542115,0.015,0.0
nakagami,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,26543386.36659676,16884936.328031752,26383874.66561216,36427888.71649578,74.12120667759099,0.9699786144454579,0.933123459861015,0.9724766967016607,0.9961247055412336,3.0021385554542115,0.015,0.0
nakagami,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,12971935.684473516,8273668.510751541,12866798.942993596,17623477.645175975,71.01768088152909,0.4753497275568566,0.43189326641346476,0.4742567500701171,0.5197337832868306,52.465027244314335,0.0,1.0
nakagami,500,50.0,best_tested_T,best tested T per sample,1000,11,121,60.291,17.817962812813338,33.0,59.0,90.0,223212540.21000606,141158659.11238885,222248894.38417968,303868779.30302995,83.37035118728629,1.0,1.0,1.0,1.0,0.0,1.0,0.0
nakagami,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,216602180.3934912,137071067.5622043,215602814.54256845,297263649.59723693,83.23810000620614,0.9702139983465831,0.9324200824378732,0.973146694405451,0.9969988535999159,2.9786001653417005,0.025,0.0
nakagami,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,216602180.3934912,137071067.5622043,215602814.54256845,297263649.59723693,83.23810000620614,0.9702139983465831,0.9324200824378732,0.973146694405451,0.9969988535999159,2.9786001653417005,0.025,0.0
nakagami,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,154448342.9073216,98663462.13017718,153159610.07495317,211220435.62559,81.77436291309698,0.6931831664342921,0.6441513443492859,0.6923827106368576,0.7483094429419335,30.681683356570783,0.0,0.0
rayleigh,250,75.0,best_tested_T,best tested T per sample,1000,7,90,38.285,14.35750371453592,17.0,37.0,64.0,14578180.752251614,8489632.076552866,14480946.03716219,21195619.969196837,71.47680759949228,1.0,1.0,1.0,1.0,0.0,1.0,0.0
rayleigh,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,13917875.431418017,7967336.100489653,13765387.015985545,20238881.719133925,71.27479107469803,0.9549465557927346,0.9041542943686393,0.9590767278983621,0.9932803920081259,4.505344420726542,0.023,0.0
rayleigh,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,13917875.431418017,7967336.100489653,13765387.015985545,20238881.719133925,71.27479107469803,0.9549465557927346,0.9041542943686393,0.9590767278983621,0.9932803920081259,4.505344420726542,0.023,0.0
rayleigh,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,4801700.206693861,2765204.2803883906,4723410.140933328,7044668.52099669,66.65562779399728,0.3304784850025695,0.2904424638257466,0.32987173268450676,0.37354589259883625,66.95215149974305,0.0,1.0
rayleigh,500,50.0,best_tested_T,best tested T per sample,1000,7,126,51.293,16.116292560197767,28.0,50.0,78.0,92788700.07780407,52975915.883938834,91465103.88555887,135564516.33990023,79.51213614512973,1.0,1.0,1.0,1.0,0.0,1.0,0.0
rayleigh,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,89547368.71867396,50780894.27710283,88535167.89619058,131017356.71115516,79.35528289082427,0.9648044765604792,0.9204544942155095,0.9684515141282493,0.9959038708082281,3.5195523439520833,0.023,0.0
rayleigh,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,89547368.71867396,50780894.27710283,88535167.89619058,131017356.71115516,79.35528289082427,0.9648044765604792,0.9204544942155095,0.9684515141282493,0.9959038708082281,3.5195523439520833,0.023,0.0
rayleigh,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,51848035.74313594,29854981.03028335,51197416.279941626,76029521.36065198,76.98809488294376,0.5603709376836689,0.5041628685739502,0.5599493155168179,0.6211164009867759,43.962906231633106,0.0,0.0
rician,250,75.0,best_tested_T,best tested T per sample,1000,10,250,81.515,41.37764958144536,31.0,72.0,168.0,7435256.3105577985,4888801.990769489,7337763.904506519,10271408.965153513,68.60572189281088,1.0,1.0,1.0,1.0,0.0,1.0,0.0
rician,250,75.0,best_formula,best formula,1000,75,75,75.0,0.0,75.0,75.0,75.0,6995348.130247258,4516679.338087943,6939550.174386462,9703364.703833768,68.33633176392478,0.9406401453169992,0.8722000693684172,0.9467142838648196,0.9910580481390477,5.935985468300079,0.008,0.0
rician,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,6939292.155268138,4419891.1001037415,6826169.627180278,9742889.058381723,68.29920592371022,0.9330012263449649,0.8507922258091167,0.9396114668233414,0.9903001129163768,6.699877365503517,0.012,0.0
rician,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,4511987.228880634,2986785.0785125643,4518233.600043986,6244990.771310784,66.43587850096831,0.6124526164890685,0.4859593248653816,0.6081701953565736,0.7546089422099213,38.75473835109316,0.0,1.0
rician,500,50.0,best_tested_T,best tested T per sample,1000,26,204,87.989,28.19261787600972,46.0,86.0,138.0,66164672.51357863,44105871.51009225,65598597.343369044,89952625.50261848,78.10654706761795,1.0,1.0,1.0,1.0,0.0,1.0,0.0
rician,500,50.0,best_formula,best formula,1000,75,75,75.0,0.0,75.0,75.0,75.0,63808314.977408506,42358821.37066487,63013837.64917387,86745031.26990277,77.94697119766455,0.9642095002969417,0.9194261772414228,0.9681300190771889,0.9954793101890531,3.5790499703058285,0.02,0.0
rician,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,62283775.02237643,41015795.7657865,61140455.19323453,85283855.37258025,77.83984672191625,0.941094524040923,0.8760060033024896,0.9454021120760727,0.9890668288184955,5.890547595907707,0.006,0.0
rician,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,51820040.99405955,34630696.454519644,51618655.08918936,70592309.77087067,77.04441579932012,0.7848167068567842,0.6978848528021863,0.7836570804319247,0.8748092255152401,21.518329314321573,0.0,0.0
thin_tail,250,75.0,best_tested_T,best tested T per sample,1000,4,97,41.467,15.344065672153246,20.0,41.0,69.0,3807357.9897954916,1552434.7732068272,3672445.4650773653,6552208.7852323055,65.42819362393213,1.0,1.0,1.0,1.0,0.0,1.0,0.0
thin_tail,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,3579740.782902067,1483116.1286019953,3433965.5820653113,6197114.675342594,65.15487960830218,0.9397978681839432,0.8671676576158477,0.9443824385352192,0.9920892487428378,6.020213181605689,0.016,0.0
thin_tail,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,3579740.782902067,1483116.1286019953,3433965.5820653113,6197114.675342594,65.15487960830218,0.9397978681839432,0.8671676576158477,0.9443824385352192,0.9920892487428378,6.020213181605689,0.016,0.0
thin_tail,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,985499.1217606806,425433.6129414542,970352.678265855,1684523.8494155323,59.57213684772214,0.26104078706386197,0.21826438832825476,0.2608599514548896,0.3037500411327183,73.89592129361381,0.0,1.0
thin_tail,500,50.0,best_tested_T,best tested T per sample,1000,11,136,59.426,18.842281060305694,32.0,58.0,94.0,18949984.41254016,7861251.546246565,18436575.33387289,32687597.25586521,72.39774992666415,1.0,1.0,1.0,1.0,0.0,1.0,0.0
thin_tail,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,17914789.300777283,7356475.876574624,17392790.852802638,31232725.143094696,72.14591320322654,0.9444770027412551,0.868428040066132,0.9529505078738982,0.9932382187990488,5.5522997258744935,0.026,0.0
thin_tail,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,17914789.300777283,7356475.876574624,17392790.852802638,31232725.143094696,72.14591320322654,0.9444770027412551,0.868428040066132,0.9529505078738982,0.9932382187990488,5.5522997258744935,0.026,0.0
thin_tail,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,9965964.157990908,4357952.951463976,9695323.637541939,17056835.27999136,69.62136954242449,0.5294995526200004,0.46257304221681267,0.5282829003352028,0.6033975945871959,47.05004473799996,0.0,0.0
